abbreviation,expansion,chapter,chapter_title
AAC,Advanced Audio Coding,7,"Arabic Speech Corpora, Annotation, and Benchmarks"
ADI,Arabic Dialect Identification,1,Speech Technologies and the Arabic Challenge
ADI,Arabic Dialect Identification,8,Dialect Identification and Spoken Language Processing
ADI-20,the twenty-dialect successor to ADI17,8,Dialect Identification and Spoken Language Processing
ADI17,the seventeen-dialect Arabic Dialect Identification set,1,Speech Technologies and the Arabic Challenge
ADI17,the seventeen-country Arabic Dialect Identification dataset,8,Dialect Identification and Spoken Language Processing
AIR-Bench,Audio Instruction Benchmark,11,Audio-Language Models (ALM) and Speech Agents
ALA-LC,American Library Association and Library of Congress,1,Speech Technologies and the Arabic Challenge
ALM,audio-language model,1,Speech Technologies and the Arabic Challenge
ALM,audio-language model,11,Audio-Language Models (ALM) and Speech Agents
ArTST,Arabic Text and Speech Transformer,1,Speech Technologies and the Arabic Challenge
ArTST,Arabic Text and Speech Transformer,6,Speech Foundation Models and Self-Supervised Learning
ASCII,American Standard Code for Information Interchange,1,Speech Technologies and the Arabic Challenge
ASCII,American Standard Code for Information Interchange,2,Arabic Language and Speech Fundamentals
ASR,Automatic Speech Recognition,1,Speech Technologies and the Arabic Challenge
ASR,Automatic Speech Recognition,2,Arabic Language and Speech Fundamentals
ASR,Automatic Speech Recognition,3,Digital Speech Processing
ASR,Automatic Speech Recognition,4,Arabic ASR I: Statistical and Deep-Learning Foundations
ASR,Automatic Speech Recognition,5,Arabic ASR II: End-to-End Models
ASR,Automatic Speech Recognition,6,Speech Foundation Models and Self-Supervised Learning
ASR,Automatic Speech Recognition,7,"Arabic Speech Corpora, Annotation, and Benchmarks"
ASR,Automatic Speech Recognition,8,Dialect Identification and Spoken Language Processing
ASR,Automatic Speech Recognition,9,Speech Synthesis (Text-to-Speech)
ASR,Automatic Speech Recognition,11,Audio-Language Models (ALM) and Speech Agents
ASR,automatic speech recognition,13,Responsible Arabic Speech Technology
ASR,Automatic Speech Recognition,14,End-to-End Arabic Speech Projects
ASVspoof,the Automatic Speaker Verification Spoofing and Countermeasures challenge,8,Dialect Identification and Spoken Language Processing
ASVspoof,the Automatic Speaker Verification Spoofing and Countermeasures challenge,13,Responsible Arabic Speech Technology
BAVED,Basic Arabic Vocal Emotions Dataset,8,Dialect Identification and Spoken Language Processing
BLEU,Bilingual Evaluation Understudy,1,Speech Technologies and the Arabic Challenge
BLEU,Bilingual Evaluation Understudy,10,Speech Translation and Spoken Language Understanding
BPE,Byte-Pair Encoding,2,Arabic Language and Speech Fundamentals
BPE,byte-pair encoding,4,Arabic ASR I: Statistical and Deep-Learning Foundations
BPE,byte-pair encoding,5,Arabic ASR II: End-to-End Models
CAPT,computer-assisted pronunciation training,12,Examples of Arabic Speech Applications
CC0,"Creative Commons Zero, a public-domain dedication",7,"Arabic Speech Corpora, Annotation, and Benchmarks"
CC0,"Creative Commons Zero, a public-domain dedication",14,End-to-End Arabic Speech Projects
CER,Character Error Rate,1,Speech Technologies and the Arabic Challenge
CER,Character Error Rate,3,Digital Speech Processing
CER,Character Error Rate,4,Arabic ASR I: Statistical and Deep-Learning Foundations
CER,Character Error Rate,5,Arabic ASR II: End-to-End Models
CER,Character Error Rate,6,Speech Foundation Models and Self-Supervised Learning
CER,Character Error Rate,7,"Arabic Speech Corpora, Annotation, and Benchmarks"
CER,Character Error Rate,11,Audio-Language Models (ALM) and Speech Agents
CER,Character Error Rate,13,Responsible Arabic Speech Technology
CER,Character Error Rate,14,End-to-End Arabic Speech Projects
ClArTTS,Classical Arabic Text-to-Speech,1,Speech Technologies and the Arabic Challenge
ClArTTS,Classical Arabic Text-to-Speech,2,Arabic Language and Speech Fundamentals
ClArTTS,Classical Arabic Text-to-Speech,3,Digital Speech Processing
ClArTTS,Classical Arabic Text-to-Speech,9,Speech Synthesis (Text-to-Speech)
ClArTTS,Classical Arabic Text-to-Speech,14,End-to-End Arabic Speech Projects
CMVN,cepstral mean and variance normalization,3,Digital Speech Processing
CMVN,Cepstral Mean and Variance Normalization,14,End-to-End Arabic Speech Projects
CNN,Convolutional Neural Network,6,Speech Foundation Models and Self-Supervised Learning
CODA,Conventional Orthography for Dialectal Arabic,2,Arabic Language and Speech Fundamentals
CODA,Conventional Orthography for Dialectal Arabic,7,"Arabic Speech Corpora, Annotation, and Benchmarks"
CODA,Conventional Orthography for Dialectal Arabic,14,End-to-End Arabic Speech Projects
COMET,Crosslingual Optimized Metric for Evaluation of Translation,1,Speech Technologies and the Arabic Challenge
COMET,Crosslingual Optimized Metric for Evaluation of Translation,10,Speech Translation and Spoken Language Understanding
CPC,Contrastive Predictive Coding,6,Speech Foundation Models and Self-Supervised Learning
CTC,connectionist temporal classification,1,Speech Technologies and the Arabic Challenge
CTC,Connectionist Temporal Classification,2,Arabic Language and Speech Fundamentals
CTC,Connectionist Temporal Classification,5,Arabic ASR II: End-to-End Models
CTC,Connectionist Temporal Classification,6,Speech Foundation Models and Self-Supervised Learning
DARPA,Defense Advanced Research Projects Agency,1,Speech Technologies and the Arabic Challenge
