bibtex_key,authors,year,title,venue,pages,doi,url,accessed,chapters,confidence,raw
abdelali2018diacritiza,"Abdelali, A., Attia, M., Samih, Y., Darwish, K., & Mubarak, H",2018,Diacritization of Maghrebi Arabic sub-dialects,arXiv preprint arXiv:1810.06619,,,https://arxiv.org/abs/1810.06619,,2,medium,"Abdelali, A., Attia, M., Samih, Y., Darwish, K., & Mubarak, H. (2018). Diacritization of Maghrebi Arabic sub-dialects. arXiv preprint arXiv:1810.06619. https://arxiv.org/abs/1810.06619"
abdelali2016farasa,"Abdelali, A., Darwish, K., Durrani, N., & Mubarak, H",2016,Farasa: A fast and furious segmenter for Arabic,Proceedings of the 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Demonstrations,11-16,10.18653/v1/N16-3003,https://doi.org/10.18653/v1/N16-3003,,9,high,"Abdelali, A., Darwish, K., Durrani, N., & Mubarak, H. (2016). Farasa: A fast and furious segmenter for Arabic. Proceedings of the 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Demonstrations, 11-16. https://doi.org/10.18653/v1/N16-3003"
abdelfattah2025automatic,"Abdelfattah, A., Khalil, M. I., & Abbas, H",2025,Automatic pronunciation error detection and correction of the Holy Quran’s learners using deep learning,arXiv preprint arXiv:2509.00094,,,https://arxiv.org/abs/2509.00094,9 August 2026,12,medium,"Abdelfattah, A., Khalil, M. I., & Abbas, H. (2025). Automatic pronunciation error detection and correction of the Holy Quran’s learners using deep learning. arXiv preprint arXiv:2509.00094. https://arxiv.org/abs/2509.00094 Accessed 9 August 2026."
abdou2019arabic,"Abdou, S. M., & Moussa, A. M",2019,Arabic speech recognition: Challenges and state of the art,"In Computational Linguistics, Speech and Image Processing for Arabic Language. World Scientific",,10.1142/9789813229396_0001,https://doi.org/10.1142/9789813229396_0001,,1,high,"Abdou, S. M., & Moussa, A. M. (2019). Arabic speech recognition: Challenges and state of the art. In Computational Linguistics, Speech and Image Processing for Arabic Language. World Scientific. https://doi.org/10.1142/9789813229396_0001"
abdulmageed2020nadi,"Abdul-Mageed, M., Zhang, C., Bouamor, H., & Habash, N",2020,NADI 2020: The first nuanced Arabic dialect identification shared task,Proceedings of the Fifth Arabic Natural Language Processing Workshop (WANLP),97-110,,https://aclanthology.org/2020.wanlp-1.9/,30 July 2026,8,high,"Abdul-Mageed, M., Zhang, C., Bouamor, H., & Habash, N. (2020). NADI 2020: The first nuanced Arabic dialect identification shared task. Proceedings of the Fifth Arabic Natural Language Processing Workshop (WANLP), 97-110. https://aclanthology.org/2020.wanlp-1.9/ Accessed 30 July 2026."
abdulla1985real,"Abdulla, W. H., & Abdul-Karim, M. A. H",1985,Real-time spoken Arabic digit recognizer,"International Journal of Electronics, 59(5)",645-648,10.1080/00207218508920741,https://doi.org/10.1080/00207218508920741,,1,high,"Abdulla, W. H., & Abdul-Karim, M. A. H. (1985). Real-time spoken Arabic digit recognizer. International Journal of Electronics, 59(5), 645-648. https://doi.org/10.1080/00207218508920741"
abuali2022full,"Abuali, B., & Kurdy, M.-B",2022,Full diacritization of the Arabic text to improve screen readers for the visually impaired,"Advances in Human-Computer Interaction, 2022, 1186678",,10.1155/2022/1186678,https://doi.org/10.1155/2022/1186678,,9,high,"Abuali, B., & Kurdy, M.-B. (2022). Full diacritization of the Arabic text to improve screen readers for the visually impaired. Advances in Human-Computer Interaction, 2022, 1186678. https://doi.org/10.1155/2022/1186678"
adelani2026speech,"Adelani, D. I., Agostinelli, V., Anastasopoulos, A., Bentivogli, L., Bojar, O., Bratières, S., Carpuat, M., Carraro, F., Cattoni, R., Cettolo, M., Chen, L., Federico, M., Gaido, M., Gupta, M., Han, H., Hatami, A., Howe, L. C., Javorský, D., Jeon, Y., Kasztelnik, M., Laurent, A., Liu, D., Luu, N., Ma, M., Macháček, D., Maltais, M., Matusov, E., McCrae, J., Meng, C., Maurya, C. K., Mohammadamini, M., Moslem, Y., Murray, K., Nakamura, S., Negri, M., Niehues, J., Ojha, A. K., Ortega, J. E., Ouyang, S., Papi, S., Polák, P., Retkowski, F., Sanchez, S., Savoldi, B., Sikasote, C., Sperber, M., Stüker, S., Sudoh, K., Tahon, M., Turchi, M., Waibel, A., Wilken, P., Zevallos, R., Zouhar, V., & Züfle, M",2026,Speech translation and metrics in 2026: Findings of the IWSLT campaign,Proceedings of the 23rd International Conference on Spoken Language Translation (IWSLT),336-422,,https://aclanthology.org/2026.iwslt-1.39/,5 August 2026,10,high,"Adelani, D. I., Agostinelli, V., Anastasopoulos, A., Bentivogli, L., Bojar, O., Bratières, S., Carpuat, M., Carraro, F., Cattoni, R., Cettolo, M., Chen, L., Federico, M., Gaido, M., Gupta, M., Han, H., Hatami, A., Howe, L. C., Javorský, D., Jeon, Y., Kasztelnik, M., Laurent, A., Liu, D., Luu, N., Ma, M., Macháček, D., Maltais, M., Matusov, E., McCrae, J., Meng, C., Maurya, C. K., Mohammadamini, M., Moslem, Y., Murray, K., Nakamura, S., Negri, M., Niehues, J., Ojha, A. K., Ortega, J. E., Ouyang, S., Papi, S., Polák, P., Retkowski, F., Sanchez, S., Savoldi, B., Sikasote, C., Sperber, M., Stüker, S., Sudoh, K., Tahon, M., Turchi, M., Waibel, A., Wilken, P., Zevallos, R., Zouhar, V., & Züfle, M. (2026). Speech translation and metrics in 2026: Findings of the IWSLT campaign. Proceedings of the 23rd International Conference on Spoken Language Translation (IWSLT), 336-422. https://aclanthology.org/2026.iwslt-1.39/ Accessed 5 August 2026."
afouras2022deep,"Afouras, T., Chung, J. S., Senior, A., Vinyals, O., & Zisserman, A",2022,Deep audio-visual speech recognition,"IEEE Transactions on Pattern Analysis and Machine Intelligence, 44(12)",8717-8727,10.1109/TPAMI.2018.2889052,https://doi.org/10.1109/TPAMI.2018.2889052,,12,high,"Afouras, T., Chung, J. S., Senior, A., Vinyals, O., & Zisserman, A. (2022). Deep audio-visual speech recognition. IEEE Transactions on Pattern Analysis and Machine Intelligence, 44(12), 8717-8727. https://doi.org/10.1109/TPAMI.2018.2889052"
al2026oman,"Al Khadhuri, R. S., Al Mahrouqi, F., Al Mandhari, S., Al-Kathiri, A. A., Alshahri, O. S., Alsaqr, G. M., Mudhsh, B. A., & Fatnassi, T",2026,OMAN-SPEECH: A multi-layer annotated speech corpus for Omani Arabic dialects,Proceedings of the Second Workshop on Natural Language Processing for Languages Using Arabic Script (AbjadNLP),229-235,10.18653/v1/2026.abjadnlp-1.31,https://doi.org/10.18653/v1/2026.abjadnlp-1.31,,8,high,"Al Khadhuri, R. S., Al Mahrouqi, F., Al Mandhari, S., Al-Kathiri, A. A., Alshahri, O. S., Alsaqr, G. M., Mudhsh, B. A., & Fatnassi, T. (2026). OMAN-SPEECH: A multi-layer annotated speech corpus for Omani Arabic dialects. Proceedings of the Second Workshop on Natural Language Processing for Languages Using Arabic Script (AbjadNLP), 229-235. https://doi.org/10.18653/v1/2026.abjadnlp-1.31"
