chapter,number,authors,year,title,venue,pages,doi,url,accessed,confidence,raw
1,1,,,,,,,https://un.org/en/observances/arabiclanguageday,19 June 2026,low,United Nations. World Arabic Language Day. https://un.org/en/observances/arabiclanguageday Accessed 19 June 2026.
1,2,"Rahman, A., Kabir, M. M., Mridha, M. F., Alatiyyah, M., Alhasson, H. F., & Alharbi, S. S",2024,Arabic speech recognition: Advancement and challenges,IEEE Access,,10.1109/ACCESS.2024.3376237,https://doi.org/10.1109/ACCESS.2024.3376237,,high,"Rahman, A., Kabir, M. M., Mridha, M. F., Alatiyyah, M., Alhasson, H. F., & Alharbi, S. S. (2024). Arabic speech recognition: Advancement and challenges. IEEE Access. https://doi.org/10.1109/ACCESS.2024.3376237"
1,3,"Ali, A., Bell, P., Glass, J., Messaoui, Y., Mubarak, H., Renals, S., & Zhang, Y",2016,The MGB-2 challenge: Arabic multi-dialect broadcast media recognition,IEEE Spoken Language Technology Workshop (SLT),279-284,10.1109/SLT.2016.7846277,https://doi.org/10.1109/SLT.2016.7846277,,high,"Ali, A., Bell, P., Glass, J., Messaoui, Y., Mubarak, H., Renals, S., & Zhang, Y. (2016). The MGB-2 challenge: Arabic multi-dialect broadcast media recognition. IEEE Spoken Language Technology Workshop (SLT), 279-284. https://doi.org/10.1109/SLT.2016.7846277"
1,4,"Kulkarni, A., Kulkarni, A., Shatnawi, S., & Aldarmaki, H",2023,ClArTTS: An open-source Classical Arabic text-to-speech corpus,Interspeech,5511-5515,10.21437/Interspeech.2023-2224,https://doi.org/10.21437/Interspeech.2023-2224,,high,"Kulkarni, A., Kulkarni, A., Shatnawi, S., & Aldarmaki, H. (2023). ClArTTS: An open-source Classical Arabic text-to-speech corpus. Interspeech, 5511-5515. https://doi.org/10.21437/Interspeech.2023-2224"
1,5,"Mdhaffar, S., Bougares, F., De Mori, R., Zaiem, S., Ravanelli, M., & Estève, Y",2024,TARIC-SLU: A Tunisian benchmark dataset for spoken language understanding,LREC-COLING,,,https://aclanthology.org/2024.lrec-main.1357/,19 June 2026,high,"Mdhaffar, S., Bougares, F., De Mori, R., Zaiem, S., Ravanelli, M., & Estève, Y. (2024). TARIC-SLU: A Tunisian benchmark dataset for spoken language understanding. LREC-COLING. https://aclanthology.org/2024.lrec-main.1357/ Accessed 19 June 2026."
1,6,"Wang, C., Wu, A., Gu, J., & Pino, J",2021,CoVoST 2 and massively multilingual speech translation,Interspeech,2247-2251,10.21437/Interspeech.2021-2027,https://doi.org/10.21437/Interspeech.2021-2027,,high,"Wang, C., Wu, A., Gu, J., & Pino, J. (2021). CoVoST 2 and massively multilingual speech translation. Interspeech, 2247-2251. https://doi.org/10.21437/Interspeech.2021-2027"
1,7,"Bougares, F., Mdhaffar, S., Elleuch, H., & Estève, Y",2025,TEDxTN: A three-way speech translation corpus for code-switched Tunisian Arabic-English,Proceedings of the Third Arabic Natural Language Processing Conference (ArabicNLP),,10.18653/v1/2025.arabicnlp-main.22,https://doi.org/10.18653/v1/2025.arabicnlp-main.22,,high,"Bougares, F., Mdhaffar, S., Elleuch, H., & Estève, Y. (2025). TEDxTN: A three-way speech translation corpus for code-switched Tunisian Arabic-English. Proceedings of the Third Arabic Natural Language Processing Conference (ArabicNLP). https://doi.org/10.18653/v1/2025.arabicnlp-main.22"
1,8,"Talafha, B., Toyin, H. O., Sullivan, P., Elmadany, A. A., Juma, A., Djanibekov, A., Zhang, C., Alshehhi, H., Aldarmaki, H., Jarrar, M., Habash, N., & Abdul-Mageed, M",2025,NADI 2025: The first multidialectal Arabic speech processing shared task,Proceedings of the Third Arabic Natural Language Processing Conference: Shared Tasks (ArabicNLP),720-733,,https://aclanthology.org/2025.arabicnlp-sharedtasks.99/,19 June 2026,high,"Talafha, B., Toyin, H. O., Sullivan, P., Elmadany, A. A., Juma, A., Djanibekov, A., Zhang, C., Alshehhi, H., Aldarmaki, H., Jarrar, M., Habash, N., & Abdul-Mageed, M. (2025). NADI 2025: The first multidialectal Arabic speech processing shared task. Proceedings of the Third Arabic Natural Language Processing Conference: Shared Tasks (ArabicNLP), 720-733. https://aclanthology.org/2025.arabicnlp-sharedtasks.99/ Accessed 19 June 2026."
1,9,"Bianco, S., Celona, L., Khalifa, I., Napoletano, P., Petrovsky, A., Piccoli, F., Schettini, R., & Shanin, I",2022,ArabCeleb: Speaker recognition in Arabic,"AIxIA 2021: Advances in Artificial Intelligence, Lecture Notes in Computer Science 13196. Springer",,10.1007/978-3-031-08421-8_23,https://doi.org/10.1007/978-3-031-08421-8_23,,high,"Bianco, S., Celona, L., Khalifa, I., Napoletano, P., Petrovsky, A., Piccoli, F., Schettini, R., & Shanin, I. (2022). ArabCeleb: Speaker recognition in Arabic. AIxIA 2021: Advances in Artificial Intelligence, Lecture Notes in Computer Science 13196. Springer. https://doi.org/10.1007/978-3-031-08421-8_23"
1,10,"Farhan, W., Za’ter, M. E., Abu Obaidah, Q., al Bataineh, H., Sober, Z., & Al-Natsheh, H. T",2021,SPARTA: Speaker profiling for ARabic TAlk,28th Conference of Open Innovations Association (FRUCT),,10.23919/FRUCT50888.2021.9347615,https://doi.org/10.23919/FRUCT50888.2021.9347615,,high,"Farhan, W., Za’ter, M. E., Abu Obaidah, Q., al Bataineh, H., Sober, Z., & Al-Natsheh, H. T. (2021). SPARTA: Speaker profiling for ARabic TAlk. 28th Conference of Open Innovations Association (FRUCT). https://doi.org/10.23919/FRUCT50888.2021.9347615"
