"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract"
"Aswat: Arabic Audio Dataset for Automatic Speech Recognition Using Speech-Representation Learning","https://scispace.com/papers/aswat-arabic-audio-dataset-for-automatic-speech-recognition-2f470ll4ps","","Journal Article","","Lamya Alkanhal
Abeer Alessa
Elaf Almahmoud
Rana Alaqil","10.18653/v1/2023.arabicnlp-1.10","https://scispace.com/pdf/aswat-arabic-audio-dataset-for-automatic-speech-recognition-2f470ll4ps.pdf","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Directly tackles Arabic ASR with a new 732‑hour dataset and self‑supervised wav2vec/data2vec models, offering strong neural methods and thorough WER evaluation; lacks multilingual or real‑time focus.","Recent advancements in self-supervised speech-representation learning for automatic speech recognition (ASR) approaches have significantly improved the results on many benchmarks with low-cost data labeling. In this paper, we train two self-supervised frameworks for ASR, namely wav2vec, and data2vec, in which we conduct multiple experiments and analyze their results. Furthermore, we introduce Aswat dataset, which covers multiple genres and features speakers with vocal variety. Aswat contains 732 hours of clean Arabic speech that can be used in the pretraining task for learning latent speech representations, which results in achieving a lower word error rate (WER) in Arabic ASR. We report the baseline results and achieve state-of-the-art WERs of 11.7% and 10.3% on Common Voice (CV) and the second round of Multi-Genre Broadcast (MGB-2) respectively, as a result of including our dataset Aswat."
"Speech Processing for Arabic Speech Synthesis Based on Concatenation Rules","https://link.springer.com/article/10.1007/s42979-024-02649-z","2024","Journal Article","SN computer science","Fayçal Imedjdouben","10.1007/s42979-024-02649-z","","No","","IiTWXZc8gk8J","","","","","","","","","Google Scholar","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Focuses on Arabic TTS using concatenation rules, but lacks neural models, low‑resource methods, extensive evaluation, multilingual or real‑time aspects.",""
"Exploring the Impact of Speech AI: A Comparative Analysis of ML Models on Arabic Dataset","https://scispace.com/papers/exploring-the-impact-of-speech-ai-a-comparative-analysis-of-1i68hj8ku9","2023","Journal Article","","Mohamed Khaled Ben Mna
Asma Ben Letaifa","10.1109/comnet60156.2023.10366659","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Shows Arabic TTS with Tacotron2/FastSpeech2, but lacks low‑resource methods, extensive MOS/WER reporting, multilingual or real‑time considerations.","Recent advancements in artificial intelligence and high-performance computing have revolutionized various facets of human interaction. Speech synthesis (text-to-speech) and automatic speech recognition (speech-to-text) technologies have become ubiquitous in smartphones, smart homes, websites, and automotive systems, transforming how we communicate with technology. This paper resembles a showcase of the efficacy of end-to-end text-to-speech (TTS) models trained specifically on Arabic data. The study presents an in-depth analysis of various TTS system architectures mainly Tacotron2 and FastSpeech2, highlighting their performance in generating high-quality synthesized speech from written Arabic text. Through a beginner’s lens, the article sheds light on the exciting domain of audio deep learning, providing valuable insights for researchers and practitioners interested in TTS technology. By demonstrating the capabilities and potential challenges of employing Arabic data in TTS model training, this paper contributes to the advancement of multilingual speech synthesis and inspires further exploration in the field of audio deep learning."
"Multi-agent based Arabic speech synthesis","https://link.springer.com/article/10.1007/s10772-022-09975-8","2022","Journal Article","International Journal of Speech Technology","Hanane Tebbi
Maamar Hamadouche","10.1007/s10772-022-09975-8","","No","4","v3jmPVUly8AJ","","","","","","","","","Google Scholar","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Focuses on Arabic speech synthesis using a multi-agent approach; lacks neural models, low-resource methods, extensive evaluation, multilingual or real-time aspects.",""
"Dialectal Coverage And Generalization in Arabic Speech Recognition","https://scispace.com/papers/dialectal-coverage-and-generalization-in-arabic-speech-3xoae2h55h1p","2024","Journal Article","","Amirbek Djanibekov
Hawau Olamide Toyin
Raghad Alshalan
Abdullah Alitr
Hanan Aldarmaki","10.48550/arxiv.2411.05872","https://scispace.com/pdf/dialectal-coverage-and-generalization-in-arabic-speech-3xoae2h55h1p.pdf","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Focuses on Arabic ASR, exploring dialect coverage, pre‑training and fine‑tuning; uses neural models for low‑resource scenarios; evaluates across dialects but lacks public benchmark details.","Developing robust automatic speech recognition (ASR) systems for Arabic, a language characterized by its rich dialectal diversity and often considered a low-resource language in speech technology, demands effective strategies to manage its complexity. This study explores three critical factors influencing ASR performance: the role of dialectal coverage in pre-training, the effectiveness of dialect-specific fine-tuning compared to a multi-dialectal approach, and the ability to generalize to unseen dialects. Through extensive experiments across different dialect combinations, our findings offer key insights towards advancing the development of ASR systems for pluricentric languages like Arabic."
"Arabic Speech Recognition Based on Encoder-Decoder Architecture of Transformer","https://scispace.com/papers/arabic-speech-recognition-based-on-encoder-decoder-354ctfxu","2023","Journal Article","Journal of techniques","Alla Hussein","10.51173/jt.v5i1.749","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses transformer encoder‑decoder for Arabic ASR, achieving 3.2% WER on Common Voice with only 112 h data; evaluates thoroughly but lacks multilingual or real‑time aspects.","Recognizing and transcribing human speech has become an increasingly important task. Recently, researchers have been more interested in automatic speech recognition (ASR) using End to End models. Previous choices for the Arabic ASR architecture have been time-delay neural networks, recurrent neural networks (RNN), and long short-term memory (LSTM). Preview end-to-end approaches have suffered from slow training and inference speed because of the limitations of training parallelization, and they require a large amount of data to achieve acceptable results in recognizing Arabic speech This research presents an Arabic speech recognition based on a transformer encoder-decoder architecture with self-attention to transcribe Arabic audio speech segments into text, which can be trained faster with more efficiency. The proposed model exceeds the performance of previous end-to-end approaches when utilizing the Common Voice dataset from Mozilla. In this research, we introduced a speech-transformer model that was trained over 110 epochs using only 112 hours of speech. Although Arabic is considered one of the languages that are difficult to interpret by speech recognition systems, we achieved the best word error rate (WER) of 3.2 compared to other systems whose training requires a very large amount of data. The proposed system was evaluated on the common voice 8.0 dataset without using the language model."
"DNN-Based Arabic Speech Synthesis","https://scispace.com/papers/dnn-based-arabic-speech-synthesis-2bayvis8","2022","Proceedings Article","","","10.1109/iceee55327.2022.9772602","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses DNN‑based TTS for Arabic, achieving MOS 3.92 and PESQ 3.17; evaluates with subjective and objective tests but lacks modern end‑to‑end models, public corpora, multilingual or real‑time aspects.","This article discusses a Deep Neural Network-based Text-to-Speech synthesis for the Arabic language. Subjective and objective tests were used to evaluate the system. We used the Mean Opinion Score (MOS) for subjective evaluation, and the Diagnostic Rhyme Test (DRT) to test the intelligibility of some consonants and vowels. We use the Perceptual Evaluation of Speech Quality (PESQ) for objective evaluation. The results have a mean of 3.92/5, 3.88/5 for the MOS and DRT tests, respectively, and 3.17/5 for the PESQ test; the majority of words and sentences were recognized, and the system's overall evaluation quality was satisfactory. Furthermore, the results show a significant improvement in the quality of synthesized speech for DNN-based TTS when compared to its HMM-based counterpart."
"ArTST: Arabic Text and Speech Transformer","https://scispace.com/papers/artst-arabic-text-and-speech-transformer-2nv7lhp1h9","2023","Journal Article","","Hawau Olamide Toyin
Amirbek Djanibekov
Ajinkya Kulkarni
Hanan Aldarmaki","10.48550/arxiv.2310.16621","https://scispace.com/pdf/artst-arabic-text-and-speech-transformer-2nv7lhp1h9.pdf","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Focuses on Arabic speech processing; Provides ASR and TTS models; Uses Transformer architecture; Shows low-resource TTS benefits; Evaluates against state-of-the-art.","We present ArTST, a pre-trained Arabic text and speech transformer for supporting open-source speech technologies for the Arabic language. The model architecture follows the unified-modal framework, SpeechT5, that was recently released for English, and is focused on Modern Standard Arabic (MSA), with plans to extend the model for dialectal and code-switched Arabic in future editions. We pre-trained the model from scratch on MSA speech and text data, and fine-tuned it for the following tasks: Automatic Speech Recognition (ASR), Text-To-Speech synthesis (TTS), and spoken dialect identification. In our experiments comparing ArTST with SpeechT5, as well as with previously reported results in these tasks, ArTST performs on a par with or exceeding the current state-of-the-art in all three tasks. Moreover, we find that our pre-training is conducive for generalization, which is particularly evident in the low-resource TTS task. The pre-trained model as well as the fine-tuned ASR and TTS models are released for research use."
"Casablanca: Data and Models for Multidialectal Arabic Speech Recognition","https://scispace.com/papers/casablanca-data-and-models-for-multidialectal-arabic-speech-7co5p077bqjk","2024","Journal Article","","Bashar Talafha
Karima Kadaoui
Samar Mohamed Magdy
Mariem Habiboullah
Chafei Mohamed Chafei
Ahmed Oumar El-Shangiti
Hiba Zayed
Mohamedou Cheikh Tourad
Rahaf Alhamouri
R. Assi
Aisha Alraeesi
H Beheri Mohamed
Fakhraddin Alwajih
Abdelrahman Mohamed
Abdellah El Mekki
El Moatez Billah Nagoudi
Benelhadj Djelloul Mama Saadia
Hamzah A. Alsayadi
Walid Al-Dhabyani
Sara Shatnawi
Yasir Ech-Chammakhy
Amal Makouar
Yousra Berrachedi
Mustafa Jarrar
Shady Shehata
Ismaïl Berrada
Muhammad Abdul-Mageed","10.48550/arxiv.2410.04527","https://scispace.com/pdf/casablanca-data-and-models-for-multidialectal-arabic-speech-7co5p077bqjk.pdf","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Provides a large multi-dialect Arabic ASR dataset with baseline models; uses neural models, addresses low-resource dialects, offers evaluation on its own corpus, explores dialect diversity, but lacks real-time focus.","In spite of the recent progress in speech processing, the majority of world languages and dialects remain uncovered. This situation only furthers an already wide technological divide, thereby hindering technological and socioeconomic inclusion. This challenge is largely due to the absence of datasets that can empower diverse speech systems. In this paper, we seek to mitigate this obstacle for a number of Arabic dialects by presenting Casablanca, a large-scale community-driven effort to collect and transcribe a multi-dialectal Arabic dataset. The dataset covers eight dialects: Algerian, Egyptian, Emirati, Jordanian, Mauritanian, Moroccan, Palestinian, and Yemeni, and includes annotations for transcription, gender, dialect, and code-switching. We also develop a number of strong baselines exploiting Casablanca. The project page for Casablanca is accessible at: www.dlnlp.ai/speech/casablanca."
"Arabic ASR on the SADA Large-Scale Arabic Speech Corpus with Transformer-Based Models","https://arxiv.org/abs/2508.12968v1","2025","Preprint","","Branislav Gerazov
Marcello Politi
Sébastien Bratières","","https://arxiv.org/pdf/2508.12968v1","Yes","","","","","","","http://arxiv.org/abs/2508.12968v1","2025-08-18T14:44:25Z","eess.AS","eess.AS, cs.LG","arXiv","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** The paper directly tackles Arabic ASR with transformer models on a large public corpus, offering detailed evaluation, but lacks low‑resource, multilingual, or real‑time focus.","We explore the performance of several state-of-the-art automatic speech recognition (ASR) models on a large-scale Arabic speech dataset, the SADA (Saudi Audio Dataset for Arabic), which contains 668 hours of high-quality audio from Saudi television shows. The dataset includes multiple dialects and environments, specifically a noisy subset that makes it particularly challenging for ASR. We evaluate the performance of the models on the SADA test set, and we explore the impact of fine-tuning, language models, as well as noise and denoising on their performance. We find that the best performing model is the MMS 1B model finetuned on SADA with a 4-gram language model that achieves a WER of 40.9\% and a CER of 17.6\% on the SADA test clean set."
