key,type,authors,year,title,venue,doi,url
oukas_arabalg_2024,article,"Oukas, Nourredine; Haboussi, Samia; Maiza, Chafik; Benslimane, Nassim",2024,ArabAlg: A new Dataset for Arabic Speech Commands Recognition for Machine Learning Purposes,University Of Bahrain,10.12785/ijcds/150170,https://hdl.handle.net/20.500.14536/5224
farhan_sparta_2021,inproceedings,"Farhan, Wael; Za'ter, Muhy Eddin; Obaidah, Qusai Abu; al Bataineh, Hisham; Sober, Zyad; Al-Natsheh, Hussein T.",2021,SPARTA: Speaker Profiling for ARabic TAlk,2021 28th Conference of Open Innovations Association (FRUCT),10.23919/FRUCT50888.2021.9347615,https://ieeexplore.ieee.org/document/9347615
bianco_arabceleb_2022,inproceedings,"Bianco, Simone; Celona, Luigi; Khalifa, Intissar; Napoletano, Paolo; Petrovsky, Alexey; Piccoli, Flavio; Schettini, Raimondo; Shanin, Ivan",2022,ArabCeleb: Speaker Recognition in Arabic,AIxIA 2021 – Advances in Artificial Intelligence,10.1007/978-3-031-08421-8_23,
talafha_nadi_2025,inproceedings,"Talafha, Bashar; Toyin, Hawau Olamide; Sullivan, Peter; Elmadany, AbdelRahim A.; Juma, Abdurrahman; Djanibekov, Amirbek; Zhang, Chiyu; Alshehhi, Hamad; Aldarmaki, Hanan; Jarrar, Mustafa; Habash, Nizar; Abdul-Mageed, Muhammad",2025,NADI 2025: The First Multidialectal Arabic Speech Processing Shared Task,Proceedings of The Third Arabic Natural Language Processing Conference: Shared Tasks,10.18653/v1/2025.arabicnlp-sharedtasks.99,https://aclanthology.org/2025.arabicnlp-sharedtasks.99/
bougares_tedxtn_2025,inproceedings,"Bougares, Fethi; Mdhaffar, Salima; Elleuch, Haroun; Estève, Yannick",2025,TEDxTN: A Three-way Speech Translation Corpus for Code-Switched Tunisian Arabic - English,Proceedings of The Third Arabic Natural Language Processing Conference,10.18653/v1/2025.arabicnlp-main.22,https://aclanthology.org/2025.arabicnlp-main.22/
wang_covost_2021,inproceedings,"Wang, Changhan; Wu, Anne; Gu, Jiatao; Pino, Juan",2021,CoVoST 2 and Massively Multilingual Speech Translation,,10.21437/Interspeech.2021-2027,https://www.isca-archive.org/interspeech_2021/wang21s_interspeech.html
mdhaffar_taric-slu_2024,inproceedings,"Mdhaffar, Salima; Bougares, Fethi; de Mori, Renato; Zaiem, Salah; Ravanelli, Mirco; Estève, Yannick",2024,TARIC-SLU: A Tunisian Benchmark Dataset for Spoken Language Understanding,"Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",,https://aclanthology.org/2024.lrec-main.1357/
kulkarni_clartts_2023,inproceedings,"Kulkarni, Ajinkya; Kulkarni, Atharva; Shatnawi, Sara Abedalmon'em Mohammad; Aldarmaki, Hanan",2023,ClArTTS: An Open-Source Classical Arabic Text-to-Speech Corpus,,10.21437/Interspeech.2023-2224,https://www.isca-archive.org/interspeech_2023/kulkarni23_interspeech.html#
ali_mgb-2_2016,inproceedings,"Ali, Ahmed; Bell, Peter; Glass, James; Messaoui, Yacine; Mubarak, Hamdy; Renals, Steve; Zhang, Yifan",2016,The MGB-2 challenge: Arabic multi-dialect broadcast media recognition,2016 IEEE Spoken Language Technology Workshop (SLT),10.1109/SLT.2016.7846277,https://ieeexplore.ieee.org/document/7846277/authors
rahman_arabic_2024,article,"Rahman, Ashifur; Kabir, Md. Mohsin; Mridha, M. F.; Alatiyyah, Mohammed; Alhasson, Haifa F.; Alharbi, Shuaa S.",2024,Arabic Speech Recognition: Advancement and Challenges,IEEE Access,10.1109/ACCESS.2024.3376237,https://ieeexplore.ieee.org/document/10466536
